event_number,result,oddF,oddX,oddL,betF,betX,betL,lossF,lossX,lossL,total,uf,ux,ul,pattern
337,X,1.82,3.64,4.42,60023424012150,17570948885550,31648258809400,109242631702100,0,139885303937450,1685000,1,0,2,
336,F,1.90,3.41,4.14,48806503647850,15739122784100,28186730503950,0,37931285909600,116693064276200,1680000,0,2,1,
335,L,1.82,3.44,4.21,44567229199900,13175948415150,23369179533750,81112357143800,45325262548050,0,1675000,2,1,0,
334,X,1.81,3.42,4.69,26089839617700,8352008746000,12780761349300,47222609708000,0,59941770728200,1670000,1,0,27,
333,F,1.84,3.50,4.03,22870479096200,6567500197550,12643702248250,0,16418750493800,50954120050400,1665000,0,2,26,
332,F,1.85,3.35,4.42,17762689834200,5799641262300,9298645101750,0,13629156966300,41100011339650,1660000,0,1,25,
331,X,1.82,3.77,4.07,11127666865400,2938404397450,6186282437150,20252353695000,0,25178169519200,1655000,1,0,24,
330,F,1.86,3.32,4.17,9047944159950,2873767618450,4907464364100,0,6667140874700,20464126388250,1650000,0,2,23,
329,F,1.85,3.39,4.29,7293068472450,2300195414250,3898912792300,0,5497467040000,16726335868850,1645000,0,1,22,
328,X,1.83,3.41,4.73,4373172174600,1447495056400,2182237853500,8002905079500,0,10321985047050,1640000,2,0,21,
327,X,1.85,3.34,4.51,2779584449950,924513961050,1438132826400,5142231232400,0,6485979047000,1635000,1,0,20,
326,F,1.90,3.39,4.26,2244306706000,745167397050,1274708643350,0,1780950078850,5430258810600,1630000,0,2,19,
325,F,1.83,3.48,4.36,1949210717500,594310372350,1023534528150,0,1473889723400,4462610532700,1625000,0,1,18,
324,X,1.80,3.48,4.19,1240392953250,352634553250,639679814350,2232707315850,0,2680258422100,1620000,2,0,17,
323,X,1.90,3.41,4.25,674165184200,222231388450,384517282300,1280913849950,0,1634198449750,1615000,1,0,16,
322,F,1.83,3.48,4.17,602182475150,176896427200,322915032150,0,438703139450,1346555674050,1610000,0,2,15,
321,F,1.91,3.51,4.04,456889672600,142068896100,273700710950,0,356592929150,1105750862200,1605000,0,1,14,
320,X,1.80,3.52,4.67,289893104200,89123160100,142791328250,521807587550,0,666835502850,1600000,1,0,13,
319,F,1.85,3.50,4.08,249218641500,73199823350,138636026900,0,182999558350,565634979650,1595000,0,2,12,
318,F,1.82,3.48,4.35,203009918300,61036293600,105431844400,0,151370008050,458628513050,1590000,0,1,11,
317,X,1.81,3.42,4.04,128154151650,36327721200,67477146600,231959014450,0,272607672250,1585000,1,0,10,
316,F,1.81,3.62,4.11,100283647250,27389724400,53840034850,0,71761077850,221282533100,1580000,0,2,9,
315,F,1.83,3.38,4.24,81075791100,24794811250,42498100350,0,59011650750,180191935350,1575000,0,1,8,
